2026-04-28 12:19:37,520 | INFO     | yara_scan            | YARA HIT  5804a86177053ff0 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:37,665 | INFO     | yara_scan            | YARA HIT  8a49ad574543a462 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:37,671 | INFO     | yara_scan            | YARA HIT  a2a853aa5021dfe9 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:37,782 | INFO     | yara_scan            | YARA HIT  fb83f2fed9754cf7 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:38,171 | INFO     | yara_scan            | YARA HIT  7d6fc8a6f7e7084f → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:38,174 | INFO     | yara_scan            | YARA HIT  8e64844a4ee99113 → Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:38,214 | INFO     | yara_scan            | YARA HIT  ecfefc3d8615ca47 → Encrypted_C2_Channel,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,Suspicious_Web_Payload
2026-04-28 12:19:38,221 | INFO     | yara_scan            | YARA HIT  554dc3c1201d7b24 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload,Suspicious_Web_Payload
2026-04-28 12:19:38,229 | INFO     | yara_scan            | YARA HIT  288f138fd9c0c6c4 → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,T1547_Boot_or_Logon_Autostart,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
2026-04-28 12:19:38,254 | INFO     | yara_scan            | YARA HIT  9bf504960057f10c → High_Entropy_Encrypted,Encrypted_C2_Channel,HighEntropy_Dropper,HighEntropy_InMemory_Payload,T1027_Obfuscated_Files,High_Entropy_Payload_Tuned,HighEntropy_Persistence_Payload
